PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Jacob Murphy,1995-02-24,England,74.0,179.0,Midfielder
Miguel Almirón,1994-02-10,Paraguay,70.0,174.0,Midfielder
Sean Longstaff,1997-10-30,England,65.0,180.0,Midfielder
Joelinton,1996-08-14,Brazil,81.0,186.0,Forward
Allan Saint-Maximin,1997-03-12,France,67.0,173.0,Forward
Dwight Gayle,1989-10-17,England,78.0,174.0,Forward
Callum Wilson,1992-02-27,England,66.0,180.0,Forward
Joseph Willock,1999-08-20,England,71.0,179.0,Midfielder
Kieran Trippier,1990-09-19,England,71.0,178.0,Defender
Chris Wood,1991-12-07,New Zealand,81.0,191.0,Forward
Bruno Guimarães,1997-11-16,Brazil,74.0,182.0,Midfielder
Matt Targett,1995-09-18,England,70.0,183.0,Defender
Dan Burn,1992-05-09,England,87.0,198.0,Defender
Lucas De Bolle,2002-10-22,Scotland,,,Midfielder
Tim Krul,1988-04-03,Netherlands,84.0,188.0,Goalkeeper
Michael McGovern,1984-07-12,Northern Ireland,89.0,191.0,Goalkeeper
Max Aarons,2000-01-04,England,69.0,178.0,Defender
Sam Byram,1993-09-16,England,72.0,180.0,Defender
Grant Hanley,1991-11-20,Scotland,81.0,187.0,Defender
Christoph Zimmermann,1993-01-12,Germany,92.0,194.0,Defender
Andrew Omobamidele,2002-06-23,Ireland,,188.0,Defender
Lukas Rupp,1991-01-08,Germany,73.0,178.0,Midfielder
Kieran Dowell,1997-10-10,England,70.0,175.0,Midfielder
Przemyslaw Placheta,1998-03-23,Poland,72.0,177.0,Midfielder
Jacob Sørensen,1998-03-03,Denmark,,,Midfielder
Kenny McLean,1992-01-08,Scotland,70.0,183.0,Midfielder
Teemu Pukki,1990-03-29,Finland,75.0,180.0,Forward
Adam Idah,2001-02-11,Ireland,83.0,190.0,Forward
Milot Rashica,1996-06-28,Kosovo,73.0,177.0,Midfielder
Angus Gunn,1996-01-22,England,77.0,196.0,Goalkeeper
Ben Gibson,1993-01-15,England,78.0,185.0,Defender
Dimitris Giannoulis,1995-10-17,Greece,62.0,175.0,Defender
Billy Gilmour,2001-06-11,Scotland,60.0,166.0,Midfielder
Pierre Lees-Melou,1993-05-25,France,69.0,185.0,Midfielder
Joshua Sargent,2000-02-20,United States,79.0,185.0,Forward
Christos Tzolis,2002-01-30,Greece,,184.0,Forward
Brandon Williams,2000-09-03,England,63.0,171.0,Defender
Mathias Normann,1996-05-28,Norway,75.0,179.0,Midfielder
Ozan Kabak,2000-03-25,Turkey,86.0,186.0,Defender
Jonathan Tomkinson,2002-04-11,United States,,,Defender
Jonathan Rowe,2003-04-30,England,,173.0,Forward
Jon McCracken,2000-05-24,Scotland,,,Goalkeeper
Liam Gibbs,2002-12-16,England,,,Midfielder
Abu Kamara,2003-07-21,England,,183.0,Defender
Tony Springett,2002-09-22,England,,,Midfielder
Alex McCarthy,1989-12-03,England,79.0,193.0,Goalkeeper
Harry Lewis,1997-12-20,England,77.0,191.0,Goalkeeper
Fraser Forster,1988-03-17,England,93.0,201.0,Goalkeeper
Kyle Walker-Peters,1997-04-13,England,62.0,173.0,Defender
Jack Stephens,1994-01-27,England,75.0,185.0,Defender
Mohammed Salisu,1999-04-17,Ghana,82.0,191.0,Defender
Jan Bednarek,1996-04-12,Poland,77.0,189.0,Defender
Oriol Romeu,1991-09-24,Spain,83.0,183.0,Midfielder
James Ward-Prowse,1994-11-01,England,66.0,173.0,Midfielder
Nathan Redmond,1994-03-06,England,69.0,173.0,Midfielder
Moussa Djenepo,1998-06-15,Mali,65.0,177.0,Midfielder
Stuart Armstrong,1992-03-30,Scotland,75.0,183.0,Midfielder
William Smallbone,2000-02-21,Ireland,,,Forward
Nathan Tella,1999-07-05,England,,,Midfielder
Ibrahima Diallo,1999-03-08,France,68.0,179.0,Midfielder
Che Adams,1996-07-13,Scotland,70.0,175.0,Forward
Yan Valery,1999-02-22,France,85.0,180.0,Defender
Mohamed Elyounoussi,1994-08-04,Norway,70.0,178.0,Midfielder
Shane Long,1987-01-22,Ireland,81.0,178.0,Forward
Theo Walcott,1989-03-16,England,68.0,176.0,Forward
Romain Perraud,1997-09-22,France,68.0,173.0,Defender
Valentino Livramento,2002-11-12,England,,,Defender
Armando Broja,2001-09-10,Albania,,191.0,Forward
Adam Armstrong,1997-02-10,England,69.0,172.0,Forward
Thierry Small,2004-08-01,England,,,Defender
Lyanco,1997-02-01,Brazil,85.0,187.0,Defender
Willy Caballero,1981-09-28,Argentina,81.0,186.0,Goalkeeper
Kgaogelo Chauke,2003-01-08,England,,,Midfielder
Kazeem Olaigbe,2003-01-02,Belgium,,,Forward
Hugo Lloris,1986-12-26,France,82.0,188.0,Goalkeeper
Matt Doherty,1992-01-16,Ireland,80.0,182.0,Defender
Sergio Reguilón,1996-12-16,Spain,68.0,178.0,Defender
Davinson Sánchez,1996-06-12,Colombia,81.0,187.0,Defender
Joe Rodon,1997-10-22,Wales,70.0,180.0,Defender
Japhet Tanganga,1999-03-31,England,76.0,184.0,Defender
Ben Davies,1993-04-24,Wales,76.0,181.0,Defender
Pierre-Emile Højbjerg,1995-08-05,Denmark,84.0,187.0,Midfielder
Harry Winks,1996-02-02,England,65.0,178.0,Midfielder
Eric Dier,1994-01-15,England,88.0,188.0,Defender
Son Heung-Min,1992-07-08,South Korea,78.0,183.0,Forward
Harry Kane,1993-07-28,England,86.0,188.0,Forward
Steven Bergwijn,1997-10-08,Netherlands,78.0,178.0,Forward
Lucas Moura,1992-08-13,Brazil,72.0,172.0,Forward
Ryan Sessegnon,2000-05-18,England,70.0,178.0,Midfielder
Oliver Skipp,2000-09-16,England,70.0,175.0,Midfielder
Pierluigi Gollini,1995-03-18,Italy,94.0,194.0,Goalkeeper
Cristian Romero,1998-04-27,Argentina,79.0,185.0,Defender
Dane Scarlett,2004-03-24,England,76.0,180.0,Forward
Brandon Austin,1999-01-07,England,82.0,188.0,Goalkeeper
Maksim Paskotsi,2003-01-19,Estonia,,,Defender
Kallum Cesay,2002-09-04,England,,,Defender
Brooklyn Lyons-Foster,2000-12-01,England,,,Defender
Harvey White,2001-09-19,England,,,Midfielder
Matthew Craig,2003-04-16,Scotland,,,Midfielder
Romaine Mundle,2003-04-24,England,,,Midfielder
Emerson Royal,1999-01-14,Brazil,79.0,181.0,Defender
Tobi Omole,1999-12-17,England,,,Defender
Malachi Fagan-Walcott,2002-03-11,England,,,Defender
Michael Craig,2003-04-16,Scotland,,,Midfielder
J'Neil Bennett,2001-12-07,England,,,Forward
Rodrigo Bentancur,1997-06-25,Uruguay,72.0,187.0,Midfielder
Dejan Kulusevski,2000-04-25,Sweden,80.0,186.0,Midfielder
Alfie Devine,2004-08-01,England,75.0,179.0,Midfielder
Jamie Bowden,2001-07-09,Ireland,,,Midfielder
Ben Foster,1983-04-03,England,79.0,193.0,Goalkeeper
Daniel Bachmann,1994-07-09,Austria,81.0,191.0,Goalkeeper
Robert Elliot,1986-04-30,Ireland,94.0,190.0,Goalkeeper
Jeremy Ngakia,2000-09-07,England,,,Defender
William Troost-Ekong,1993-09-01,Nigeria,82.0,191.0,Defender
Adam Masina,1994-01-02,Morocco,78.0,189.0,Defender
Craig Cathcart,1989-02-06,Northern Ireland,73.0,188.0,Defender
Kiko Femenía,1991-02-02,Spain,61.0,176.0,Defender
Christian Kabasele,1991-02-24,Belgium,84.0,187.0,Defender
Francisco Sierralta,1997-05-06,Chile,83.0,190.0,Defender
Tom Cleverley,1989-08-12,England,67.0,175.0,Midfielder
Ken Sema,1993-09-30,Sweden,69.0,180.0,Midfielder
Dan Gosling,1990-02-01,England,79.0,183.0,Midfielder
Daniel Phillips,2001-01-18,,,,Midfielder
João Pedro,2001-09-26,Brazil,70.0,182.0,Forward
Ismaïla Sarr,1998-02-25,Senegal,76.0,185.0,Forward
Imrân Louza,1999-05-01,Morocco,65.0,178.0,Midfielder
Emmanuel Dennis,1997-11-15,Nigeria,67.0,175.0,Forward
Ignacio Pussetto,1995-12-21,Argentina,74.0,180.0,Midfielder
Danny Rose,1990-07-02,England,72.0,173.0,Defender
Peter Etebo,1995-11-09,Nigeria,70.0,172.0,Midfielder
Joshua King,1992-01-15,Norway,74.0,180.0,Forward
Kwadwo Baah,2003-01-27,Germany,,,Midfielder
Cucho Hernández,1999-04-20,Colombia,73.0,176.0,Forward
Juraj Kucka,1987-02-26,Slovakia,86.0,186.0,Midfielder
Moussa Sissoko,1989-08-16,France,83.0,187.0,Midfielder
James Morris,2001-11-23,England,,,Defender
Nicolas Nkoulou,1990-03-27,Cameroon,77.0,184.0,Defender
Vincent Angelini,2003-09-12,Scotland,,186.0,Goalkeeper
Hassane Kamara,1994-03-05,Cote D’Ivoire,67.0,168.0,Defender
Samir,1994-12-05,Brazil,73.0,189.0,Defender
Edo Kayembe,1998-06-03,DR Congo,77.0,183.0,Midfielder
Derek Agyakwa,2001-12-19,Netherlands,,,Defender
Shaqai Forde,2004-05-05,England,,,Midfielder
Samuel Kalu,1997-08-26,Nigeria,74.0,176.0,Forward
Lukasz Fabianski,1985-04-18,Poland,83.0,190.0,Goalkeeper
David Martin,1986-01-22,England,85.0,185.0,Goalkeeper
Darren Randolph,1987-05-12,Ireland,98.0,188.0,Goalkeeper
Aaron Cresswell,1989-12-15,England,66.0,170.0,Defender
Vladimir Coufal,1992-08-22,Czech Republic,76.0,179.0,Defender
Angelo Ogbonna,1988-05-23,Italy,86.0,191.0,Defender
Issa Diop,1997-01-09,France,92.0,194.0,Defender
Ryan Fredericks,1992-10-10,England,74.0,181.0,Defender
Arthur Masuaku,1993-11-07,DR Congo,70.0,179.0,Defender
Manuel Lanzini,1993-02-15,Argentina,59.0,167.0,Midfielder
Mark Noble,1987-05-08,England,70.0,180.0,Midfielder
Pablo Fornals,1996-02-22,Spain,67.0,178.0,Midfielder
Tomas Soucek,1995-02-27,Czech Republic,86.0,192.0,Midfielder
Declan Rice,1999-01-14,England,76.0,185.0,Midfielder
Andriy Yarmolenko,1989-10-23,Ukraine,81.0,189.0,Forward
Saïd Benrahma,1995-08-10,Algeria,67.0,172.0,Forward
Jarrod Bowen,1996-12-20,England,70.0,175.0,Forward
Michail Antonio,1990-03-28,Jamaica,82.0,180.0,Forward
Craig Dawson,1990-05-06,England,82.0,188.0,Defender
Alphonse Areola,1993-02-27,France,94.0,195.0,Goalkeeper
Jamal Baptiste,2003-11-11,England,,,Defender
Kurt Zouma,1994-10-27,France,96.0,190.0,Defender
Nikola Vlasic,1997-10-04,Croatia,72.0,178.0,Forward
Alex Král,1998-05-19,Czech Republic,72.0,185.0,Midfielder
Ajibola Alese,2001-01-17,England,,,Defender
Ben Johnson,2000-01-24,England,67.0,175.0,Midfielder
Harrison Ashby,2001-11-14,Scotland,,,Defender
Daniel Chesters,2002-04-04,England,,,Midfielder
Sonny Perkins,2004-02-10,England,,,Midfielder
Keenan Appiah-Forson,2001-10-16,England,,,Midfielder
Freddie Potts,2003-09-12,England,,,Midfielder
Emmanuel Longelo,2000-12-27,England,,,Forward
Kamarai Simon-Swyer,2002-12-04,England,,,Forward
Armstrong Oko-Flex,2002-03-02,Ireland,,,Forward
Pierre Ekwah,2002-01-15,France,,,Defender
John Ruddy,1986-10-24,England,97.0,193.0,Goalkeeper
Ki-Jana Hoever,2002-01-18,Netherlands,65.0,180.0,Defender
Marçal,1989-02-19,Brazil,74.0,178.0,Defender
Willy Boly,1991-02-03,Cote D’Ivoire,92.0,195.0,Defender
Conor Coady,1993-02-25,England,73.0,185.0,Defender
Jonny,1994-03-03,Spain,70.0,175.0,Defender
Nélson Semedo,1993-11-16,Portugal,67.0,177.0,Defender
Maximilian Kilman,1997-05-23,England,,,Defender
Rúben Neves,1997-03-13,Portugal,80.0,180.0,Midfielder
Daniel Podence,1995-10-21,Portugal,58.0,165.0,Midfielder
Romain Saïss,1990-03-26,Morocco,80.0,190.0,Midfielder
João Moutinho,1986-09-08,Portugal,61.0,170.0,Midfielder
Leander Dendoncker,1995-04-15,Belgium,83.0,188.0,Midfielder
Pedro Neto,2000-03-09,Portugal,69.0,172.0,Forward
Raúl Jiménez,1991-05-05,Mexico,76.0,190.0,Forward
Fábio Silva,2002-07-19,Portugal,75.0,185.0,Forward
Yerson Mosquera,2001-05-02,Colombia,76.0,187.0,Defender
Trincão,1999-12-29,Portugal,70.0,184.0,Forward
Rayan Aït-Nouri,2001-06-06,France,70.0,179.0,Defender
José Sá,1993-01-17,Portugal,84.0,192.0,Goalkeeper
Luke Cundle,2002-04-26,England,,,Midfielder
Chem Campbell,2002-12-30,Wales,,,Forward
Hwang Hee-Chan,1996-01-26,South Korea,77.0,177.0,Forward
James Storer,2001-11-05,England,,,Goalkeeper
Hugo Bueno,2002-09-18,Spain,73.0,180.0,Defender
Dexter Lembikisa,2003-11-04,England,,,Defender
Toti,1999-01-16,Portugal,72.0,187.0,Defender
Chiquinho,2000-02-05,Portugal,73.0,179.0,Forward
Matija Sarkic,1997-07-23,Montenegro,,195.0,Goalkeeper
Matt Macey,1994-09-09,England,,205.0,Goalkeeper
Héctor Bellerín,1995-03-19,Spain,,178.0,Defender
William Saliba,2001-03-24,France,,192.0,Defender
Sokratis Papastathopoulos,1988-06-09,Greece,,186.0,Defender
Shkodran Mustafi,1992-04-17,Germany,,184.0,Defender
David Luiz,1987-04-22,Brazil,,189.0,Defender
Sead Kolasinac,1993-06-20,Bosnia & Herzegovina,,183.0,Defender
Mesut Özil,1988-10-15,Germany,,180.0,Midfielder
Lucas Torreira,1996-02-11,Uruguay,,168.0,Midfielder
Ainsley Maitland-Niles,1997-08-29,England,,177.0,Midfielder
Mattéo Guendouzi,1999-04-14,France,,185.0,Midfielder
Pierre-Emerick Aubameyang,1989-06-18,Gabon,,187.0,Forward
Reiss Nelson,1999-12-10,England,,175.0,Forward
Dani Ceballos,1996-08-07,Spain,,179.0,Midfielder
Robbie Burton,1999-12-26,Wales,,176.0,Midfielder
Matthew Smith,2000-10-05,England,,,Defender
Zech Medley,2000-07-09,England,,195.0,Defender
Willian,1988-08-09,Brazil,,175.0,Forward
Danny Ballard,1999-09-22,Northern Ireland,,187.0,Defender
Mark McGuinness,2001-01-05,Ireland,,194.0,Defender
Ben Cottrell,2001-10-31,England,,,Midfielder
Tolaji Bola,1999-01-04,England,,188.0,Defender
James Olayinka,2000-10-05,England,,,Midfielder
George Lewis,2000-06-16,Rwanda,,,Forward
Tyreece John-Jules,2001-02-14,England,,183.0,Forward
Henrikh Mkhitaryan,1989-01-21,Armenia,,177.0,Midfielder
Rúnar Rúnarsson,1995-02-18,Iceland,,186.0,Goalkeeper
Pablo Marí,1993-08-31,Spain,,193.0,Defender
Karl Hein,2002-04-13,Estonia,,193.0,Goalkeeper
Folarin Balogun,2001-07-03,England,,178.0,Forward
Mathew Ryan,1992-04-08,Australia,,184.0,Goalkeeper
Joel Lopez Salguero,2002-03-31,Spain,,,Defender
James Hillson,2001-01-14,England,,,Goalkeeper
Jed Steer,1992-09-23,England,,183.0,Goalkeeper
Ørjan Nyland,1990-09-10,Norway,,192.0,Goalkeeper
Lovre Kalinic,1990-04-03,Croatia,,201.0,Goalkeeper
Neil Taylor,1989-02-07,Wales,,176.0,Defender
Björn Engels,1994-09-15,Belgium,,193.0,Defender
Frédéric Guilbert,1994-12-24,France,,178.0,Defender
Ahmed El Mohamady,1987-09-09,Egypt,,183.0,Defender
Henri Lansbury,1990-10-12,England,,183.0,Midfielder
Conor Hourihane,1991-02-02,Ireland,,180.0,Midfielder
Trézéguet,1994-10-01,Egypt,,180.0,Midfielder
Jota,1991-06-16,Spain,,180.0,Midfielder
Wesley Moraes,1996-11-26,Brazil,,191.0,Forward
Mbwana Samatta,1992-12-23,Tanzania,,183.0,Forward
Indiana Vassilev,2001-02-16,United States,,173.0,Forward
Keinan Davis,1998-02-13,England,,191.0,Forward
Danny Drinkwater,1990-03-05,England,,178.0,Midfielder
Pepe Reina,1982-08-31,Spain,,188.0,Goalkeeper
Cameron Archer,2001-12-09,England,,,Forward
Akos Onodi,2001-09-02,Hungary,,,Goalkeeper
Oliwier Zych,2004-06-28,Poland,,,Goalkeeper
Dominic Revan,2000-09-19,England,,,Defender
Jake Walker,2000-11-03,England,,,Defender
Frankie Ealing,2004-07-14,England,,,Defender
Callum Rowe,1999-09-02,England,,,Midfielder
Harrison Sohna,2002-07-01,England,,,Midfielder
Kaine Hayden,2003-05-25,England,,,Midfielder
Arjan Raikhy,2002-10-20,England,,,Midfielder
Brad Young,2003-01-06,England,,,Midfielder
Mamadou Dialla Sylla,2003-01-26,Spain,,179.0,Midfielder
Edward Rowe,2003-10-17,England,,,Midfielder
Taylor Jay-Hart,2003-12-18,England,,179.0,Midfielder
Mungo Bridge,2000-09-12,England,,,Forward
Michael Tait,2001-01-29,England,,,Forward
Louie Barry,2003-06-21,England,,,Forward
Jaden Philogene-Bidace,2002-02-08,England,,,Midfielder
David Button,1989-02-27,England,,191.0,Goalkeeper
Martín Montoya,1991-04-14,Spain,,175.0,Defender
Bernardo,1995-05-14,Brazil,,186.0,Defender
Aaron Mooy,1990-09-15,Australia,,174.0,Midfielder
Davy Pröpper,1991-09-02,Netherlands,,185.0,Midfielder
Alireza Jahanbakhsh,1993-08-11,Iran,,180.0,Forward
Glenn Murray,1983-09-25,England,,183.0,Forward
José Izquierdo,1992-07-07,Colombia,,171.0,Forward
Aaron Connolly,2000-01-28,Ireland,,,Forward
Ryan Longman,2000-11-06,England,,180.0,Midfielder
Romaric Yapi,2000-07-13,France,,178.0,Defender
Peter Gwargis,2000-09-04,Sweden,,,Midfielder
Max Sanders,1999-01-04,England,,175.0,Midfielder
Jack Spong,2002-02-04,England,,,Midfielder
Taylor Richards,2000-12-04,England,,180.0,Forward
Beram Kayal,1988-05-02,Israel,,178.0,Midfielder
Alex Cochrane,2000-04-21,England,,,Defender
Teddy Jenks,2002-03-12,England,,191.0,Midfielder
Ezequiel Schelotto,1989-05-23,Argentina,,187.0,Defender
Jayson Molumby,1999-08-06,Ireland,,,Midfielder
Christian Walton,1995-11-09,England,,182.0,Goalkeeper
Viktor Gyökeres,1998-06-04,Sweden,,187.0,Forward
Jan Paul van Hecke,2000-06-08,Netherlands,,,Defender
Ulrick Eneme-Ella,2001-05-22,Gabon,,184.0,Forward
Andi Zeqiri,1999-06-22,Switzerland,,181.0,Forward
Michal Karbownik,2001-03-13,Poland,,,Defender
Percy Tau,1994-05-13,South Africa,,175.0,Forward
Reda Khadra,2001-07-04,Germany,,,Midfielder
Jensen Weir,2002-01-31,England,,184.0,Midfielder
Florin Andone,1993-04-11,Romania,,180.0,Forward
Warren O'Hora,1999-04-19,Ireland,,,Defender
Bailey Peacock-Farrell,1996-10-29,Northern Ireland,,193.0,Goalkeeper
Robbie Brady,1992-01-14,Ireland,,176.0,Midfielder
Josh Benson,1999-12-05,England,,175.0,Midfielder
Joel Mumbongo,1999-01-09,Sweden,,188.0,Forward
Ali Koiki,1999-08-22,England,,,Defender
Mace Goodridge,1999-09-13,England,,180.0,Midfielder
Anthony Driscoll-Glennon,1999-11-26,England,,181.0,Defender
Lukas Jensen,1999-03-18,Denmark,,198.0,Goalkeeper
Max Thompson,2002-02-09,England,,,Forward
Jimmy Dunne,1997-10-19,Ireland,,183.0,Defender
Anthony Mancini,2001-04-06,France,,180.0,Midfielder
Richard Nartey,1998-09-06,England,,184.0,Defender
Jamie Cumming,1999-09-04,England,,186.0,Goalkeeper
Fikayo Tomori,1997-12-19,England,,185.0,Defender
Emerson,1994-08-03,Italy,,176.0,Defender
Tammy Abraham,1997-10-02,England,,190.0,Forward
Pedro,1987-07-28,Spain,,169.0,Forward
Olivier Giroud,1986-09-30,France,,192.0,Forward
Michy Batshuayi,1993-10-02,Belgium,,184.0,Forward
Ian Maatsen,2002-03-10,Netherlands,,167.0,Defender
Faustino Anjorin,2001-11-23,England,,185.0,Midfielder
Henry Lawrence,2001-09-21,England,,,Defender
Dynel Simeu,2002-03-13,England,,186.0,Defender
Nathan Baxter,1998-11-08,England,,191.0,Goalkeeper
Juan Familia-Castillo,2000-01-13,Netherlands,,,Defender
Ethan Ampadu,2000-09-14,Wales,,183.0,Defender
Luke McCormick,1999-01-21,England,,,Midfielder
Lewis Baker,1995-04-25,England,,182.0,Midfielder
Mario Pasalic,1995-02-09,Croatia,,188.0,Midfielder
George McEachran,2000-08-30,England,,172.0,Midfielder
Marco van Ginkel,1992-12-01,Netherlands,,180.0,Midfielder
Karlo Ziger,2001-05-11,Croatia,,,Goalkeeper
Victor Moses,1990-12-12,Nigeria,,177.0,Defender
Tiemoué Bakayoko,1994-08-17,France,,185.0,Midfielder
Davide Zappacosta,1992-06-11,Italy,,185.0,Defender
Patrick van Aanholt,1990-08-29,Netherlands,,176.0,Defender
Scott Dann,1987-02-14,England,,188.0,Defender
Mamadou Sakho,1990-02-13,France,,187.0,Defender
Gary Cahill,1985-12-19,England,,193.0,Defender
Max Meyer,1995-09-18,Germany,,173.0,Midfielder
James McCarthy,1990-11-12,Ireland,,180.0,Midfielder
Stephen Henderson,1988-05-02,Ireland,,193.0,Goalkeeper
John-Kymani Gordon,2003-02-13,England,,,Forward
Nikola Tavares,1999-01-17,Croatia,,,Defender
Nya Kirby,2000-01-31,England,,174.0,Midfielder
Brandon Pierrick,2001-12-10,England,,182.0,Forward
Sam Woods,1998-09-11,England,,,Defender
Jaroslaw Jach,1994-02-17,Poland,,192.0,Defender
Ryan Inniss,1995-06-05,England,,196.0,Defender
Connor Wickham,1993-03-31,England,,191.0,Forward
João Virgínia,1999-10-10,Portugal,,198.0,Goalkeeper
Gylfi Sigurdsson,1989-09-08,Iceland,,186.0,Midfielder
Jean-Philippe Gbamin,1995-09-25,Cote D’Ivoire,,186.0,Midfielder
Beni Baningime,1998-09-09,DR Congo,,178.0,Midfielder
Bernard,1992-09-08,Brazil,,164.0,Forward
Moise Kean,2000-02-28,Italy,,183.0,Forward
Djibril Sidibé,1992-07-29,France,,182.0,Defender
Maarten Stekelenburg,1982-09-22,Netherlands,,197.0,Goalkeeper
Dennis Adeniran,1999-01-02,England,,180.0,Midfielder
Ellis Simms,2001-01-05,England,,,Forward
Leighton Baines,1984-12-11,England,,170.0,Defender
James Rodríguez,1991-07-12,Colombia,,180.0,Midfielder
Niels Nkounkou,2000-11-01,France,,180.0,Defender
Muhamed Besic,1992-09-10,Bosnia & Herzegovina,,180.0,Midfielder
Yannick Bolasie,1989-05-24,DR Congo,,188.0,Forward
Sandro Ramírez,1995-07-09,Spain,,175.0,Forward
Kyle John,2001-02-13,England,,,Defender
Nathan Broadhead,1998-04-05,Wales,,178.0,Midfielder
Zan-Luk Leban,2002-12-15,Slovenia,,,Goalkeeper
Marek Rodák,1996-12-13,Slovakia,,194.0,Goalkeeper
Jordan Archer,1993-04-12,Scotland,,186.0,Goalkeeper
Fabri,1987-12-31,Spain,,184.0,Goalkeeper
Michael Hector,1992-07-19,Jamaica,,193.0,Defender
Denis Odoi,1988-05-27,Ghana,,178.0,Defender
Alfie Mawson,1994-01-19,England,,189.0,Defender
Tim Ream,1987-10-05,United States,,186.0,Defender
Maxime Le Marchand,1989-10-11,France,,185.0,Defender
Cyrus Christie,1992-09-30,Ireland,,188.0,Defender
Joe Bryan,1993-09-17,England,,173.0,Defender
Steven Sessegnon,2000-05-18,England,,175.0,Midfielder
Jean Michaël Seri,1991-07-19,Cote D’Ivoire,,168.0,Midfielder
Kevin McDonald,1988-11-04,Scotland,,192.0,Midfielder
Neeskens Kebano,1992-03-10,DR Congo,,170.0,Midfielder
Stefan Johansen,1991-01-08,Norway,,182.0,Midfielder
Tom Cairney,1991-01-20,Scotland,,186.0,Midfielder
Anthony Knockaert,1991-11-20,France,,172.0,Midfielder
Josh Onomah,1997-04-27,England,,185.0,Midfielder
André-Frank Zambo Anguissa,1995-11-16,Cameroon,,184.0,Midfielder
Luca de la Torre,1998-05-23,United States,,177.0,Midfielder
Aleksandar Mitrovic,1994-09-16,Serbia,,189.0,Forward
Bobby De Cordova-Reid,1993-02-02,Jamaica,,170.0,Forward
Ivan Cavaleiro,1993-10-18,Portugal,,175.0,Forward
Aboubakar Kamara,1995-03-07,Mauritania,,177.0,Forward
Harry Arter,1989-12-28,Ireland,,176.0,Midfielder
Harrison Reed,1995-01-27,England,,181.0,Midfielder
Jayden Harris,1999-09-04,England,,,Midfielder
Jay Stansfield,2002-11-24,England,,,Forward
Matt O'Riley,2000-11-21,Denmark,,,Midfielder
Tyrese Francois,2000-07-16,Australia,,166.0,Midfielder
Benjamin Davis,2000-11-24,Thailand,,175.0,Midfielder
Sylvester Jasper,2001-09-13,Bulgaria,,,Forward
Luca Ashby-Hammond,2001-03-25,England,,,Goalkeeper
Jerome Opoku,1998-10-14,England,,194.0,Defender
Martell Taylor-Crossdale,1999-12-26,England,,,Forward
Magnus Norman,1997-01-19,England,,192.0,Goalkeeper
Antonee Robinson,1997-08-08,United States,,183.0,Defender
Mario Lemina,1993-09-01,Gabon,,184.0,Midfielder
Kenny Tete,1995-10-09,Netherlands,,180.0,Defender
Ola Aina,1996-10-08,Nigeria,,184.0,Defender
Fabio Carvalho,2002-08-30,Portugal,,,Midfielder
Tosin Adarabioyo,1997-09-24,England,,196.0,Defender
Terence Kongolo,1994-02-14,Netherlands,,188.0,Defender
Josh Maja,1998-12-27,Nigeria,,180.0,Forward
Kiko Casilla,1986-10-02,Spain,,190.0,Goalkeeper
Kamil Miazek,1996-08-15,Poland,,192.0,Goalkeeper
Barry Douglas,1989-09-04,Scotland,,176.0,Defender
Gaetano Berardi,1988-08-21,Switzerland,,179.0,Defender
Robbie Gotts,1999-11-09,England,,,Defender
Ezgjan Alioski,1992-02-12,North Macedonia,,173.0,Midfielder
Pablo Hernández,1985-04-11,Spain,,173.0,Midfielder
Jay-Roy Grot,1998-03-13,Netherlands,,193.0,Forward
Ian Poveda-Ocampo,2000-02-09,England,,165.0,Forward
Hélder Costa,1994-01-12,Angola,,178.0,Forward
Ryan Edmondson,2001-05-20,England,,,Forward
Jordan Stevens,2000-03-25,England,,178.0,Midfielder
Alfie McCalmont,2000-03-25,Northern Ireland,,,Midfielder
Conor Shaughnessy,1996-06-30,Ireland,,191.0,Midfielder
Oliver Casey,2000-10-14,England,,188.0,Defender
Bryce Hosannah,1999-04-08,England,,,Defender
Mateusz Bogusz,2001-08-22,Poland,,175.0,Midfielder
Elia Caprile,2001-08-25,Italy,,,Goalkeeper
Leif Davis,1999-12-31,England,,166.0,Defender
Niall Huggins,2000-12-18,Wales,,,Forward
Cody Drameh,2001-12-08,England,,,Defender
Wes Morgan,1984-01-21,Jamaica,,186.0,Defender
Filip Benkovic,1997-07-13,Croatia,,194.0,Defender
Christian Fuchs,1986-04-07,Austria,,187.0,Defender
Matty James,1991-07-22,England,,181.0,Midfielder
Dennis Praet,1994-05-14,Belgium,,181.0,Midfielder
Islam Slimani,1988-06-18,Algeria,,188.0,Forward
Ryan Bennett,1990-03-06,England,,188.0,Defender
George Hirst,1999-02-15,England,,191.0,Forward
Darnell Johnson,1998-09-03,England,,,Defender
George Thomas,1997-03-24,Wales,,173.0,Forward
Vontae Daley-Campbell,2001-04-02,England,,,Defender
Josh Knight,1997-09-07,England,,185.0,Defender
Sidnei Tavares,2001-09-29,Portugal,,,Midfielder
Thakgalo Leshabela,1999-09-18,South Africa,,175.0,Midfielder
Admiral Muskwe,1998-08-21,Zimbabwe,,183.0,Forward
Josh Felix-Eppiah,1998-10-11,Belgium,,179.0,Forward
Jakub Stolarczyk,2000-12-19,Poland,,,Goalkeeper
Ethan Fitzhugh,2002-11-27,England,,,Midfielder
Wanya Madavidua,2002-10-19,England,,,Midfielder
Cengiz Ünder,1997-07-14,Turkey,,173.0,Midfielder
