PlayerName,DateOfBirth,Nationality,Weight Kg,Height Cm,PlayingPosition
Hayden Lindley,2002-09-02,England,,,Midfielder
Tim Iroegbunam,2003-06-30,England,,,Midfielder
Josh Feeney,2005-05-06,England,,,Midfielder
Philippe Coutinho,1992-06-12,Brazil,68.0,172.0,Midfielder
Lucas Digne,1993-07-20,France,74.0,178.0,Defender
Robin Olsen,1990-01-08,Sweden,89.0,198.0,Goalkeeper
Calum Chambers,1995-01-20,England,66.0,182.0,Defender
Benjamin Chrisene,2004-01-12,England,,,Midfielder
Tommi O'Reilly,2003-12-15,England,,,Midfielder
David Raya,1995-09-15,Spain,80.0,183.0,Goalkeeper
Rico Henry,1997-07-08,England,67.0,170.0,Defender
Ethan Pinnock,1993-05-29,Jamaica,79.0,187.0,Defender
Pontus Jansson,1991-02-13,Sweden,89.0,194.0,Defender
Mads Bech Sørensen,1999-01-07,Denmark,92.0,189.0,Defender
Mads Roerslev,1999-06-24,Denmark,77.0,184.0,Defender
Christian Nørgaard,1994-03-10,Denmark,76.0,187.0,Midfielder
Mathias Jensen,1996-01-01,Denmark,68.0,180.0,Midfielder
Josh Dasilva,1998-10-23,England,75.0,184.0,Forward
Bryan Mbeumo,1999-08-07,France,,171.0,Midfielder
Tariqe Fosu-Henry,1995-11-05,Ghana,75.0,180.0,Midfielder
Shandon Baptiste,1998-04-08,Grenada,71.0,175.0,Midfielder
Vitaly Janelt,1998-05-10,Germany,79.0,184.0,Midfielder
Sergi Canós,1997-02-02,Spain,75.0,177.0,Forward
Ivan Toney,1996-03-16,England,70.0,179.0,Forward
Saman Ghoddos,1993-09-06,Iran,75.0,176.0,Forward
Julian Jeanvier,1992-03-31,Guinea,84.0,185.0,Defender
Finley Stevens,2003-04-10,Wales,,,Defender
Lewis Gordon,2001-02-12,England,,,Defender
Maxwell Haygarth,2002-01-21,England,,,Midfielder
Kristoffer Ajer,1998-04-17,Norway,84.0,196.0,Defender
Frank Onyeka,1998-01-01,Nigeria,,183.0,Midfielder
Myles Peart-Harris,2002-09-18,England,,,Midfielder
Yoane Wissa,1996-09-03,DR Congo,74.0,176.0,Midfielder
Álvaro Fernández,1998-04-13,Spain,75.0,185.0,Goalkeeper
Zanka,1990-04-23,Denmark,79.0,191.0,Defender
Paris Maghoma,2001-05-08,England,,,Midfielder
Matthew Cox,2003-05-02,England,,,Goalkeeper
Daniel Oyegoke,2003-01-03,England,,,Defender
Nathan Young-Coombes,2003-01-15,England,,,Forward
